,title,idNum,IPCNum,description
0,一种基于应用等级的消息传输系统,CN105376146A,H04L12/58,本发明公开一种基于应用等级的消息传输系统，包括：发送终端、接收终端和服务器，其中所述发送终端包括：第一应用等级设置单元，其用于逐一对所述应用程序设置等级，所述等级表示应用程序优先使用的顺序；消息等级设置单元，其用于为任意应用程序输入的消息设置消息等级，所述消息等级包括两级：重要级别和普通级别；所述接收终端包括：第二获取单元，其用于获取所使用终端的若干应用程序帐号，将所述应用程序的编程接口相互关联；第二应用等级设置单元，其用于逐一对所述应用程序设置等级，所述等级表示应用程序优先使用的顺序。本发明使得接收终端不需要登陆对应应用程序就能接收到对方发送的消息，从而在第一时间内就能看到对方发送的消息。
1,一种使用手机或平板电脑进行智能搜索电视节目的方法,CN105376618A,H04N21/41; H04N21/414; H04N21/44; H04N21/462; H04N21/466; H04N21/482,"本发明涉及一种使用手机或平板电脑进行智能搜索电视节目的方法。首先,对手机或者平板电脑通过语音串或者文字命令传输给电视，电视把语音串通过语音引擎转化为文字，然后根据用户输入的命令或关键字,在电视节目数据库中匹配电视节目，把用户喜欢的节目按照用户偏好罗列起来，在电视上显示或者推送到手机或者平板电脑上，提供给用户快速选择。电视节目搜索可根据用户输入的语音比较准确或用户输入的语音比较模糊，进行不同的搜索和结果显示。本发明使用电视、手机或者平板电脑作为显示工具，用户可迅速准确的找到所需的电视节日内容。"
2,一种基于大数据的交通运行状态特征参数提取方法,CN105389996A,G08G1/052; G06F17/30,本发明公开了一种基于大数据的交通运行状态特征参数提取方法，属于交通信息技术领域，其中交通大数据包括手机信令数据、GPS数据、基于视频、线圈断面交通流数据，交通运行状态特征参数包括车辆速度和道路流量。主要步骤如下：1)提取包含手机信令数据、GPS数据、基于视频、线圈断面交通流数据的交通大数据；2)采取基于泰森多边形的手机信令数据与GIS路网匹配方法将手机数据匹配到路网上；3)采取手机数据计算车辆速度，并以GPS数据为辅助，提高计算速度的精度；4)建立基于视频数据、线圈数据获取的高精度流量数据与手机数据提取流量数据的关系模型，提取流量信息。本发明可以在短时间内完成城市大范围的交通运行状态参数采集。
3,一种分布式医疗诊断系统,CN105404788A,G06F19/00,本发明为了优化手机等移动终端传输视频数据的速度，提高医疗诊断效率，提供了一种分布式医疗诊断系统，包括：服务器接收模块、服务器诊断模块、服务器筛选与传输模块、服务器显示模块，以及远程信息交互模块。本发明不但能够使得远程患者携带智能移动终端(包括但不限于智能手机、平板电脑等)即可高效率地获得远程医疗影像诊断服务，还能够让医疗人员也处于移动式工作状态，即医疗人员也能够使用智能移动终端提供远程医疗诊断服务。此外，本发明还能够在使用手机等智能移动终端时具有在不牺牲解析度和影像效果的前提下获得流畅的画面，提高了影像的传输效率。
4,医院自动分诊方法,CN105405087A,G06Q50/22,为了克服现有分诊系统和方法存在的对患者类型区分度以及电子标签的不便之处的弊端，本发明提供了一种医院自动分诊方法，包括：(1)获取患者信息；(2)根据患者信息，分配患者需要分诊的门诊和各个门诊的分诊优先级；(3)与患者相关联的手机建立无线链接；(4)通过所述无线链接向患者发送更新的分诊信息；(5)进行提醒和反馈更新：当步骤(4)的更新情况满足预设提醒条件时，等待患者的反馈信息：当接收到来自患者的、满足预设反馈条件的、针对某一门诊的反馈信息时，则继续按照步骤(4)向患者更新分诊信息；否则停止向患者更新该门诊的分诊信息，并调整该门诊的后续患者的分诊顺序。
5,一种智能家居控制系统,CN105353641A,G05B15/02; G05B19/418,"本发明公开了一种智能家居控制系统,包括主控系统、连接到主控系统的控制终端和智能家居设备，控制终端包括至少一台主人控制终端和至少一台客人控制终端；主控系统包括：通信模块，用于与控制终端与智能家居设备建立连接；注册模块，用于对智能家居与控制终端进行注册，并分配唯一ID；权限管理模块，包括：记录单元，用于记录每个客人控制终端首次注册的时间，以及自注册日期开始接入到系统的总次数，并生成对应的记录信息，该记录信息与客人控制终端的ID绑定；权限计算单元，用于根据客人控制终端接入到系统的总次数和注册时间计算出该客人控制终端连入到系统的周期，并根据该周期计算出相应的权限值；权限分配单元，用于为控制终端分配智能家居设置。本发明解决了权限管理的问题。"
6,智能婴儿保姆,CN105342585A,A61B5/0205; A61B5/11; A61B5/00,本发明公开了一种智能婴儿保姆，属于婴儿用品技术领域。其包括呼吸频率传感器，和/或，体温传感器，和/或，汗液分析仪，与吸频率传感器，和/或，体温传感器，和/或，汗液分析仪绑定的终端设备，呼吸频率传感器，和/或，体温传感器，和/或，汗液分析仪集成在婴儿服装或服饰上。其能够得到婴儿呼吸频率数据，和/或，婴儿体温数据；和/或，汗液分析数据；同时，将婴儿呼吸频率数据，和/或，婴儿体温数据，和/或，汗液分析数据发送至与其绑定的终端设备上，使婴儿的监护人实时得到婴儿的呼吸频率、体温、汗液信息，由于呼吸频率、体温、汗液信息与一些疾病有关联性，因此，能够使得婴儿的监护人的响应速度加快，进而帮助婴儿尽早就医。
7,城市交通远程动态监控系统,CN105374213A,G08G1/01,本发明公开了一种城市交通远程动态监控系统。其主要由以下部件构成：对道路现场所产生的数据进行动态采集的数据采集模块、对数据进行无线收发的无线数据收发基站、对数据进行分析的服务器、具有收发无线数据功能的移动终端(比如：智能手机等移动互联网设备)以及安装在移动终端上的APP软件构成。本发明所述系统采用无线传输技术，移动终端作为信息的终点，通过移动式的数据采集模块对交通现场进行远程监控，具备新颖性和创造性。通过所述系统，可以实现交通严重拥堵路段(救援和交通警察无法进入现场)进行实时远程监视和控制，是智慧城市系统的重要的一项辅助管理系统，是智慧交通的重要组成部分。
8,一种保护用户隐私的快递系统及其快递方法,CN105373910A,G06Q10/08; G06Q50/28,本发明公开了一种保护用户隐私的快递系统，其包括用户管理模块、任务创建模块、任务匹配模块和验证与签收模块，客户需要在快递系统上注册自己的个人信息，给客户分配唯一ID，用户在购买物品或者有快递需求的时候，提供用户ID就可以代替原来的个人信息，同时本发明还公开了一种基于所述快递系统的快递方法。
9,一种用于智能手机赛车游戏的方向盘,CN105381610A,A63F13/245; A63F13/803,本发明公开了一种用于智能手机赛车游戏的方向盘，固定基座的一端铰接有倾斜向上的连接板，连接板的上端部装接有方向控制盘，能够调节方向控制盘的角度，并在固定基座的底部设有吸盘，提高固定效果，放置晃动，便于智能手机赛车游戏的操作，并在方向控制盘上时钟显示面板，时钟显示面板上设有喇叭孔，提醒用户玩一段游戏后，进行休息，减少对眼睛的伤害，可折叠，体积小，方便携带，结构简单，具有良好的应用前景。
