,idNum,IPCNum,description,title
0,CN103892825A,A61B5/0245,本发明公开了一种基于蓝牙通信的心电图检测设备。用于实时检测人体的心电信号的传感器模块，用于接收人体的心电信号进行滤波放大处理后输出模拟电压信号的信号滤波模块，用于接收模拟电压信号处理为数字电压信号的单片机模块，用于接收数字电压信号并传输蓝牙通信信号给手机终端的蓝牙通信模块以及用于供电的电源模块；传感器模块的输出端经信号滤波模块后与单片机模块连接，单片机模块经蓝牙通信模块与手机终端无线连接。本发明可通过手机上显示用户心电图，抗外界干扰能力强；可实时监视用户的心率，当心率不正常时自动报警。本发明成本低，功耗小，体积小，便于携带，可以成为家中常备的医疗器械，节省家庭的医疗花费，便于推广使用。,一种基于蓝牙通信的心电图检测设备
1,CN103892825B,A61B5/0245,本发明公开了一种基于蓝牙通信的心电图检测设备。用于实时检测人体的心电信号的传感器模块，用于接收人体的心电信号进行滤波放大处理后输出模拟电压信号的信号滤波模块，用于接收模拟电压信号处理为数字电压信号的单片机模块，用于接收数字电压信号并传输蓝牙通信信号给手机终端的蓝牙通信模块以及用于供电的电源模块；传感器模块的输出端经信号滤波模块后与单片机模块连接，单片机模块经蓝牙通信模块与手机终端无线连接。本发明可通过手机上显示用户心电图，抗外界干扰能力强；可实时监视用户的心率，当心率不正常时自动报警。本发明成本低，功耗小，体积小，便于携带，可以成为家中常备的医疗器械，节省家庭的医疗花费，便于推广使用。,一种基于蓝牙通信的心电图检测设备
2,CN203749398U,A61B5/0245,一种通过无线传输的便携式SAHS筛查装置，包括血氧探头、CPU模块、血氧模块、闪存模块、蓝牙模块、显示屏、蜂鸣器、实时时钟和开关，血氧探头连接人体，将脉搏波、血氧值和脉率值发送到血氧模块，血氧模块将血氧探头收集到的数据发送到CPU模块中，CPU模块将数据保存在闪存模块中并通过蓝牙模块传输到智能手机进行分析处理，给出最高血氧、最低血氧、平均血氧、氧减饱和度指数、低血氧程度等参数，通过氧减饱和度指数判断是否是SAHS患者及严重程度。本筛查装置可通过智能手机可以保存并查看监测数据与病症情况，方便患者在对病症情况的长期评估，携带方便，使用简单，适用人群广泛，价格低廉。,一种通过无线传输的便携式SAHS筛查装置
3,CN204133441U,A61B5/0245,本实用新型属于脉搏跳动信息检测设备领域，具体是一种红外脉搏传感器。其包括有：向指尖发出红外光信号的红外发射器；接收自指尖透射的红外光信号的红外接收器；对红外接收器接收的信号进行放大处理的前置放大电路；对放大处理后的红外信号进行处理的信号调理电路；控制器，其具有将信号调理电路处理后的光信号转换成电压信号并传输给控制器的AD转换电路；将控制器输出的信号上传给终端设备的USB通信电路。通过特定波长的红外光透射手指指尖，手指指尖血管末稍由心脏跳动引起的血容积变化造成对红外光的透射影响，从而反映了脉搏跳动信息。具有抗干扰能力强、信号稳定、用户使用方便等特点。,一种红外脉搏传感器
4,CN104706342A,A61B5/0245,本发明提供一种远程胎心监护方法及系统，其中所述方法包括：接收孕妇手机客户端通过通信网络发送的胎心指标数据；将所述胎心指标数据与正常胎心指标比对后，将比对结果通过通信网络发送相应医护人员手机客户端；接收所述医护人员通过通信网络回复的诊断信息，并反馈给所述孕妇手机客户端。与现有技术相比，本发明利用移动互联网，以手机客户端为中心，可以有效解决现有技术中存在的问题，可以保证实时性、同步性，环境依赖性差，充分利用医护人员资源，提高医护人员工作效率，增强孕妇信心，效果远远好过现有的便携式胎心监护仪。,一种远程胎心监护方法及系统
5,CN103622684A,A61B5/0245,本发明涉及一种心率监护系统的控制方法。手指夹持式心率计通过蓝牙或USBHID方式与智能手机连接通信，并将检测到的心率数据在局域网模式下发送至手机终端，手机上配套应用软件处理数据后生成一份检测报告并将数据存储手机中；当心率不在正常范围时，软件发出提醒，用户通过手机链接医院预约医生就诊。智能手机与后台服务器相连，用户可选择性上传部分数据至后台服务器，后台服务器与医院系统数据库相连，可以为用户提供更为详细的检测报告，并将检测结果与用户的健康管理档案相关联，用户可以通过手机或网络查询。本发明实现了实时测量心率、波形显示数据、无线数据传输、智能诊断心率结果、远程网络查询，以及预警和预约医生功能。,一种便携式心率监护系统的控制方法
6,CN203710010U,A61B5/0245,本新型涉及一种手表警示装置组合，其中所述手表警示装置包括：一脉搏?传感单元侦测脉搏并发出侦测讯号；一设定单元设定一预设脉率值，定义为D0；第一计算单元根据一预设时间段接收到的所述侦测讯号计算每分钟脉搏发生的次数，定义为标准脉率，称为M0，并持续计算所述预设时间段后每分钟发生的脉搏次数，定义为待检测脉率，称为M1，并计算M0-M1的绝对值，定义为D1；若所述第一计算单元计算D1是否大于等于D0，若是，一第一警示单元发出警示提醒，同时，一第一无线单元发出一无线讯号；以及与所述手表警示装置无线连接的一主机端包括：第二警示单元可发出警示声音；第二无线单元接收所述第一无线单元发出的所述无线讯号后，所述第二警示单元发出警示声音。,一种手表警示装置及其组合
7,CN104055507A,A61B5/0245,本发明涉及一种手表警示装置组合，其中所述手表警示装置包括：一脉搏?传感单元侦测脉搏并发出侦测讯号；一设定单元设定一预设脉率值，定义为D0；第一计算单元根据一预设时间段接收到的所述侦测讯号计算每分钟脉搏发生的次数，定义为标准脉率，称为M0，并持续计算所述预设时间段后每分钟发生的脉搏次数，定义为待检测脉率，称为M1，并计算M0-M1的绝对值，定义为D1；若所述第一计算单元计算D1是否大于等于D0，若是，一第一警示单元发出警示提醒，同时，一第一无线单元发出一无线讯号；以及与所述手表警示装置无线连接的一主机端包括：第二警示单元可发出警示声音；第二无线单元接收所述第一无线单元发出的所述无线讯号后，所述第二警示单元发出警示声音。,一种手表警示装置及其组合
8,CN203539345U,A61B5/0245,本实用新型主要涉及一种心率监测设备，属于监测设备领域，主要解决了传统心率监护设备无法满足慢性病患者全天候实时监护以及实时数据传输的问题。本实用新型由电源电路以及顺次连接的压电传感器、信号放大电路、低通滤波电路、数模转换电路和中央控制单元组成，其特征在于：所述中央控制单元上还连接有蓝牙模块和缓存模块，所述蓝牙模块上无线连接有用于实时通讯的终端设备。本实用新型具有待机时间长、耗电量低、实时监护等优点。,手腕佩戴式实时心率监护设备
9,CN203524681U,A61B5/0245,本实用新型公开一种基于户外运动的人体健康监测系统，其利用脉搏血氧仪探头检测运动者的血氧饱和度和脉搏量标称人体健康状况，根据加速度传感器采集的加速值变化监测运动者是否发生摔倒跌落，使用大气压强传感器检测运动者所处运动环境，提供大气压强值、温度值，并通过控制器计算运动环境的高度值，通过智能终端显示运动者的血氧饱和度和脉搏量、运动状态、运动环境的大气压强值、温度值及高度值信息，利用高度值修正导航定位信息，使定位更加精确，并在所述运动状态为跌倒摔落时，向数据中心发送报警信号。,一种基于户外运动的人体健康监测系统
