,IPCNum,content
1089,B64D11/06,本发明 公开 了 一种 结构 元件 10 该 结构 元件 包括 由 悬浮 在 热塑性 基体 中 的 纤维 性 材料 形成 的 中央 部件 12 13 和 由 悬浮 在 热塑性 基体 中 的 纤维 性 材料 形成 的 至少 一个 侧部 部件 14 或 16 并且 在 其中 具有 至少 一 孔洞 所述 中央 部件 12 13 和 所述 至少 一个 侧部 部件 14 或 16 在 受热 的 热塑性 状态 中 结合 在 一起 以 形成 单个 一体 结构 10 所述 单个 一体 结构 的 特征 在于 在 结构 的 结合 平面 上 不 存在 中断 部
1892,G08B21/14,一种 用于 交通工具 尤其 是 飞机 机舱 内 的 空气质量 检测 和 报警装置 包括 机载 电源 气体 传感器 微处理器 蜂鸣 报警器 和 通信 模块 其中 机载 电源 为 气体 传感器 微处理器 蜂鸣 报警器 和 通信 模块 提供 电能 还 包括 液晶显示 装置 本发明 也 涉及 一种 利用 空气质量 检测 和 报警装置 进行 检测 和 报警 的 方法 利用 本发明 的 气体 检测 报警装置 和 方法 能够 有效 的 检测 交通工具 乘客 乘坐 空间 内 的 空气质量 增加 乘客 乘坐 的 舒适度 降低 交通工具 密闭 空间 对 乘客 健康 造成 伤害 的 风险
671,B60R21/02,本 实用新型 安全 座椅 涉及 一种 椅子 特别 涉及 一种 安装 于 交通工具 上 的 安全 座椅 本 实用新型 所述 的 安全 座椅 座椅 下部 设置 了 减震 装置 本 实用新型 所述 的 安全 座椅 通过 在 椅子 下部 设置 减震 装置 有效 的 缓冲 了 如 汽车 火车 飞机 在 发生 撞击 的 时刻 产生 的 冲击力 最大 程度 的 保证 了 乘客 的 人身安全 提高 了 乘客 的 逃生 机率
2152,B60N2/44,一种 具有 至少 一个 振动 装置 的 坐具 或者 卧具 用于 改善 坐 着 或 卧 着 的 人 的 供血 其中 通过 至少 一件 设置 在座 具 或 卧具 表面 下面 的 振动 装置 5 以 5 至 30Hz 之间 的 确定 的 或 可 确定 的 频率 将 振动 局部 地 施加 到 坐 着 或 躺 着 的 人 出现 血液循环 障碍 的 身体 部位
1075,B64C27/02,本发明 提供 了 一种 新 飞行 原理 的 飞机 即 叶轮 翼 飞机 其 特点 在于 利用 叶轮 翼片 沿着 特定 轨迹 向下 运动 压迫 空气 所 产生 的 反作用力 而 升空 而 不是 利用 机翼 上下 压差 力而 升空 这样 可以 充分利用 大气 故有 的 压强 从而 提高 有效 载重 率 并且 可以 直升 直降 无需 专门 停机场 所 还 可 在 水面 和 陆地 行驶 对 抢险救灾 医疗 救护 很 有 帮助
553,F16C37/00,航空 用 涡轮 压气机 高速 轴承 的 冷却系统 属 飞机 环境 控制技术 领域 主要 包括 供气 1 压气机 2 空气 散热器 3 涡轮 4 热管 冷凝 端 5 热管 蒸发 端 6 换热器 7 出气 8 该 冷却 的 工作 方法 具有 效率高 结构 简单 等 突出 优点 该 冷却 的 工作 方法 利用 热管 的 极 高 的 导热性 将 热管 引入 涡轮 压气机 两轮 系统 中 从而 对 轴承 进行 冷却 降温
2120,G08G5/04,本发明 涉及 空中交通 安全 的 冲突检测 技术 本发明 公开 了 一种 空中 目标 的 冲突检测 方法 其 具体方法 如下 在 本机 周围 设置 保护 区域 所述 保护 区域 为 圆柱体 本机 内 设置 冲突检测 模块 所述 冲突检测 模块 检测 是否 有 目标 飞机 进入 或 将 进入 本 机 保护 区域 如果 目标 飞机 进入 或 将 进入 本 机 保护 区域 报警 模块 启动 发出 报警信号 其中 目标 飞机 将 进入 本 机 保护 区域 的 阀值 时间 为 T 通过 使用 检测 模块 检测 是否 有 目标 飞机 进入 或 将 进入 本 机 保护 区域 使得 飞行员 较 早 获知 飞机 发生 的 冲突 和 碰撞 的 可能性 及时 调整 飞行 方案 避免 冲突 发生
379,B64C3/28,一种 有 引流 槽 的 前缘 缝翼 及 引流 槽 的 设计 方法 通过 在 前缘 缝翼 上 设计 一个 具有 一定 几何 外形 且 下 表面 入口 宽上 表面 出口 窄 的 引流 槽 利用 前缘 缝翼 上下 表面 的 压力 差 将 前缘 缝翼 下 表面 压力 较 高 的 气流 通过 引流 槽 引至 前缘 缝翼 上 表面 并 沿 前缘 缝翼 上 表面 的 切线 方向 吹 出 用以 吹除 前缘 缝翼 上 表面 堆积 的 低 能量 气流 并 修复 受损 的 附面层 速度 型 减薄 附面层 厚度 提高 附面层 抵抗 逆压 梯度 的 能力 从而 延迟 绕 前缘 缝翼 的 气流 分离 使 飞机 的 失速 过程 缓慢 失速 后 的 飞机 升力 变化 缓和 飞机 的 失速 特性 改善 本发明 应用 于 某 民用飞机 在 飞行速度 为 马赫数 0 20 的 飞机 典型 起飞 着陆 状态 可使 该 飞机 的 等 弦 长后 掠 机翼 机身 组合体 的 失速 攻角 α stall 推迟 1 ° 使 飞机 由 突然 失速 变为 缓慢 失速 失速 后 的 升力 变化 较 小 从而 有效 增加 了 失速 预警 时间 提高 了 飞行 安全性
2214,B60N2/58,本 实用新型 涉及 一种 用于 飞机 座椅 上 的 多页 式 头巾 包括 靠枕 部分 以及 与 所述 靠枕 部分 相接 的 广告 部分 所述 广告 部分 包括 至少 两张 广告页面 由于 靠枕 部分 和 广告 部分 相接 设置 广告 部分 由 多页 广告页面 装订 而成 从而 可以 发布 更 多 的 广告 内容 具有 发布 内容 丰富 多元化 的 优点 另外 广告部 和 装订 部 之间 设有 断 裂痕 便于 将 广告部 从 装订 部 撕下 带走 便于 乘客 获取 广告 信息 增加 信息 的 利用 度 并且 可以 在 广告部 上用 断 裂痕 分割 成 多个 广告 区域 乘客 可 只 撕下 一个 区域 的 广告 无需 将 整个 广告部 撕下 减少 了 浪费 节约 了 成本
1116,F16L9/00,一将 流体 装到 一 移动 中 的 飞行器 上 的 容器 的 泵 系统 它 包括 一 基本 是 刚性 的 管子 构件 该 管子 构件 有 一 设置 在 其 末端 的 潜水 装置 还 可 在 管子 构件 的 前面 设置 一 支柱 结构 在 使用 中 管子 构件 相对 移动 中 的 飞行器 朝后 从而 可 基本上 避免 流体 飞溅 到 该 飞行器 的 下侧
