IPCNum,id,title
B64,CN204776078U,一种飞机机轮安装与拆卸装置
G08,CN103262141B,飞机路径一致性监视
G08,CN100578559C,液压支柱反静摩擦旋转密封
G08,CN202600799U,飞机飞行参数实时下传装置
G08,CN105427673A,具有改进态势感知的飞机监测
B60,CN103552535A,自动充气救生衣
B64,CN204433036U,无鼓包飞机副翼结构
B64,CN2351322Y,机场摆渡登机车
F16,CN103452986A,一种轻型化抗疲劳自锁螺母及其制造方法
B64,CN202901638U,航空压力加油接头
B60,CN203573427U,禁止吸烟宣传警示装置
G08,CN103390355A,一种基于A-SMGCS系统的滑行道冲突检测方法
G08,CN201156293Y,导航无线集中监控设备
B64,CN101081644B,机翼定位和安装系统
B60,CN2427411Y,气垫船
G08,CN104346956A,广播式自动相关监视ADS-B自主防虚假目标欺骗办法
B60,CN101696956A,一种用于复合材料检测的便携式超声C扫描装置
F16,CN2499679Y,填油车式脚踏高压注油机
F16,CN104006280A,一种封闭轴承的注油方法及注油工具
B64,CN104494841A,复合电机组动力廻转索带牵引飞机弹射器
B60,CN103717492A,面向飞机侧部就座的飞机乘员的安全约束保护
B60,CN2496688Y,一种轮子
F16,CN101012007A,两级串联双腔缓冲器
B60,CN101626952B,"用于支持飞机机身结构和/或用于固定部件的装置,特别是连杆"
F16,CN204606238U,一种用于飞机维修的维修坞立柱
F16,CN203962931U,一种飞机轮胎维修用驱动装置
G08,CN103335774A,一种智能化飞机轮胎压力检测仪
F16,CN2427409Y,用于控制气垫船的浮升结构
F16,CN103967906A,一种超高强度MJ螺纹合金钢螺栓
B60,CN1775576A,具有不接触地驱动空气开口的空气分配系统
B60,CN1242834A,检测装置及其使用方法
B60,CN1312189A,陆海空交通座椅
B60,CN2875858Y,飞机赛车军警车高档车专用防爆胎轮胎
B60,CN2225996Y,健安器
B64,CN101548811A,不怕偷，不怕抢的手提箱
B60,CN2725102Y,兼具内装饰效果的橡胶密封条
F16,CN105626741A,二级阻尼能量吸收装置
B60,CN1245308C,具有端板的有翼气垫飞机
B64,CN102562827A,航空用涡轮/压气机高速轴承的冷却系统及方法与应用
B64,CN104494815A,一种飞机防滑刹车系统落地保护方法
F16,CN105041906A,多段式大功率高速多片湿式离合器
B60,CN103287585B,一种自然冷却节能型飞机地面空调车及其控制方法
B60,CN2220970Y,机动车船飞机弹力保险杠
B60,CN103253241A,机车清洗机
B64,CN102556339A,一种管理飞机在地面上运动的方法
B60,CN204124004U,灵活式飞机餐板座椅
G08,CN101739845B,基于航空数据链信息的民机航空电子验证系统及其方法
B64,CN105658520A,可线性展开的飞机座椅腿支架
B60,CN103786704A,飞机非相似余度刹车系统及其控制方法
G08,CN1459619A,一种飞机信息记录和处理方法
F16,CN203847973U,一种活门注油嘴加油接头
B60,CN104565211A,水源风源内外用齿轮多组联合加速发电装置
F16,CN204452945U,一种能量吸收式飞机座椅
B60,CN2512656Y,汽车座椅套
G08,CN104801935A,飞机铝合金异型座舱加工方法
B64,CN105398580A,飞机弹射装置
B64,CN104471808A,电流回路连接绝缘线束和将其安装在复合机身框架的方法
B64,CN103121194A,一种用于拼接大型机翼壁板的定位夹具及定位方法
F16,CN101357685A,重型装备空投自吸能减振货台
F16,CN2063895U,组合式轮胎拆装器
B60,CN104210983A,一种机械式飞机千斤顶
B60,CN105050848A,低能量核热电系统
B60,CN2695270Y,水陆空三栖飞行器
F16,CN204300050U,一种飞机前缘缝翼支撑肋上的零件安装结构
F16,CN1275689A,密封件环、片、条及其应用
B60,CN1134366C,飞机上所用的儿童座位
B60,CN101953670A,带式吸水器
G08,CN102231654A,基于数据链的航路气象信息通播服务装置及方法
G08,CN104890886A,用于飞机中的活塞马达的紧急运行模式
G08,CN101385059B,检测和规避目标碰撞的图像询问器及其方法和包括该图像询问器的飞机
B60,CN100513465C,飞机轮胎
F16,CN204175730U,一种双面胶装托板游动自锁螺母连接组件
B64,CN201604802U,三自由度惯性稳定航拍云台
F16,CN100478251C,两级串联双腔缓冲器
G08,CN100568140C,在着陆或起飞点附近帮助导航旋翼飞机的方法和装置
B60,CN204355282U,一种飞机用燃油防晃构件
B64,CN203093651U,飞机牵引车专用双向缓冲装置
B64,CN204846368U,多机型无人直升机通用主变速箱
B64,CN105501459A,一种航母舰载机的海水弹射装置
B60,CN103786704B,飞机非相似余度刹车系统及其控制方法
G08,CN205168909U,具有自适应感度的多轴植保飞机
B60,CN204870406U,折棚
G08,CN102426457B,一种微型扑翼飞行器飞控导航系统
F16,CN2825332Y,一种模型飞机或车辆用的轮胎
B60,CN1912406A,有选择地隔绝固源噪声的方法、叠层球窝接头、机械连接以及飞机
F16,CN103890438B,航空器的弹性系统
F16,CN103347781A,用于将部件紧固到飞机或航天器的结构部件上的紧固装置和紧固配件
B60,CN103158780A,不怕碰撞的新型汽车
B60,CN1887609A,飞行汽车
G08,CN100444138C,无线发动机监控系统
F16,CN204408924U,一种施肥装置及包含该施肥装置的植保飞机
F16,CN105041906B,两段式大功率高速多片湿式离合器
