IPCNum,id,title
F16,CN102069913A,利用增加额外的水分子数量来提高螺旋桨和喷气式发动机动力的方法
G08,CN1291360C,利用专用网络为用户提供道路交通信息的设备和方法
B60,CN103241094B,无杆飞机牵引车的自动调平系统
B60,CN101039821A,具有与负载相关的力支撑件的力支撑装置
B60,CN1586936A,一种空中起重、飞行车
B64,CN204309540U,一种新型共轴双桨涵道轮子
B64,CN101161550A,物件载运系统及其置纳方法
F16,CN104619590A,控制表面驱动组件
B64,CN1720155A,用于锁定诸如交通工具座椅这样的设备的构造的装置
F16,CN205207412U,一种双孔偏心销轴调节装置
B64,CN102224073A,厨房单元
B64,CN102991488B,具有自适应能力的刹车系统恒力矩控制方法
F16,CN103452986B,一种轻型化抗疲劳自锁螺母及其制造方法
F16,CN1193963C,耐磨制品
B60,CN103538500A,交通安全座椅高矮调节装置
B60,CN104616904A,磁弦射频量子色动力超级功放电容超级功放变压器磁碟陀螺旋翼量子色动力发电发动机汽车
B60,CN101312851A,座位附件
F16,CN203926914U,一种具有温度调节功能的空气混合分配装置
B60,CN104691074A,天然纤维高分子复合物及汽车内饰材料用环保轻量基材
F16,CN104696659A,一种波纹管接头
B60,CN1521424A,能量放大器
F16,CN103879549A,某型飞机压力加油系统组件安装方法和辅助定位螺栓
B64,CN100564160C,中型船上发射机场
B60,CN2121371U,自调式航空和汽车水平座椅
F16,CN101348171B,用于旋翼飞机的转子制动器
B60,CN1678843A,套环
G08,CN2876921Y,泄漏电缆入侵探测器
F16,CN102815406A,线密封开口汽缸单向蒸汽弹射器
G08,CN101576816B,符合DOD雷达数据处理要求的二进制数据格式转换方法
B60,CN100436190C,用于汽车和飞机的自适应充气座垫和靠垫
B60,CN2680521Y,不紧贴身式安全带
F16,CN105423029A,折叠大通径管用旋转密封装置
F16,CN1068404A,爬墙手(脚)
B60,CN1067636C,直升飞车
B60,CN2618829Y,一种新型厕所
G08,CN105551310A,一种基于地形数据库的前视预警快速寻址法
B64,CN204310056U,客机遭劫时由乘客参与的报警系统
B60,CN2467345Y,飞行汽车
F16,CN1184742A,智能制动防抱死系统
B64,CN104670518A,一种运输机物资装卸平台
F16,CN103672129A,飞机水车液压及手动排污装置
G08,CN101241631A,森林防火监控系统
G08,CN103903481A,一种近地告警系统的阈值和包线设计方法
B64,CN104769347A,复合材料燃料管
G08,CN105644800A,一种起飞警告系统
G08,CN101110164A,一种ADS－B管制工作站数据处理系统
F16,CN202883649U,内膨胀系列防松螺栓
F16,CN104210983A,一种机械式飞机千斤顶
B60,CN203372013U,防爆汽车轮胎内支撑装置
B64,CN102554821A,一种外前襟翼定位器
B60,CN1053622C,具有改进胎面冠顶加强结构的偏置轮胎
