IPCNum,id,title
B64,CN103287408A,"用于飞机轮子的电动制动器,该制动器包括配装有温度传感器的机电致动器"
F16,CN105090194A,紧固件及用紧固件安装隔热隔声层的方法
B60,CN1890128A,用于支持路径控制的方法和系统
B60,CN101318481A,系列交通工具安全座椅及其头枕
B64,CN204323686U,一种垂直起降无人机
B60,CN203651583U,一种航空地勤保障车
B60,CN2378252Y,附加紧急制动装置
B60,CN1513701A,旅行睡眠支架
G08,CN203102614U,新型ADS-B信标设备
F16,CN104791557A,一种热熔密封飞机地面空调送风软管及其制备方法
B60,CN100358738C,具有胎肩帘布层的胎冠加强件
B64,CN204606230U,一种可拆卸的无人机弹射装置
B60,CN105050848A,低能量核热电系统
B64,CN103522228A,定位压紧器
G08,CN102568250A,在机场区域辅助飞机滑行的方法和系统
F16,CN204548514U,一种油箱口盖密封装置
B64,CN205203369U,一种飞机用升降舵连接结构及具有其的飞机
B60,CN104309459A,一次性车罩系统
G08,CN102270376A,数字式海上(水面)遇险求救与辅助自救装置
F16,CN105517794A,用于制造以金属/塑料复合形式的三维成型的混合部件的方法和半成品及这类半成品的应用
B60,CN2653223Y,增力装置
G08,CN102903257A,车辆导航方法和车辆导航系统
G08,CN101308609B,利用虚拟领航机进行空中交通管制系统及其运行方法
G08,CN101110165A,一种ADS－B监视技术的数据评估系统
F16,CN105526298A,飞机起落架减震防护方法
B60,CN204473146U,飞机座椅安全自动检测装置
B60,CN104691074A,天然纤维高分子复合物及汽车内饰材料用环保轻量基材
B64,CN204527650U,一种飞机螺旋桨的折叠机构
F16,CN1507544A,具有显微构造表面的固体
F16,CN103038538B,用于飞机起落架的液压摆振阻尼器
G08,CN101156191A,用于辅助机场内飞机地面导航的系统
B60,CN1557644A,飞碟汽车
F16,CN105526215A,一种杆端接头及其装配方法
F16,CN1360163A,能量再生机
B60,CN1075457A,气垫单轮碟形车
B60,CN104354580A,可清洗车罩系统及其使用方法
B64,CN204433040U,一种飞机的快卸脚蹬
B60,CN1720155A,用于锁定诸如交通工具座椅这样的设备的构造的装置
F16,CN1985082A,改进的二冲程对置活塞式内燃机
F16,CN103615497B,一种支座式发动机橡胶隔振装置
F16,CN2673723Y,工具拖车
G08,CN102270371B,烟雾侦测系统
B60,CN203211137U,可坐可靠随意变形的客舱车厢座椅
B60,CN1108245C,一种多功能交通工具
B60,CN102915652A,飞行器交通分离系统
B64,CN105398580A,飞机弹射装置
G08,CN201072590Y,一种飞机维修现场数据传送装置
G08,CN103116994B,光通讯的交通系统及交通系统管理方法
B60,CN1492160A,车轮盘式制动显示器
F16,CN204327936U,一种全飞行包线工作的小流量润滑系统
B64,CN104663099A,一种施肥装置及包含该施肥装置的植保飞机
G08,CN101576816A,符合DOD雷达数据处理要求的二进制数据格式转换方法
B64,CN204415715U,一种用于飞机刹车系统的机轮总成
B60,CN2451424Y,表面污垢清洗机
G08,CN101527085A,一种航班信息即动报知装置及其处理方法
B60,CN104743115A,具有升力的空心管及其应用
B64,CN205211192U,一种飞机泊位引导装置距离显示系统
B64,CN204551304U,一种航空安全拦阻跑道
G08,CN1489703A,具有自动检查临近区域以及雪、雾检测功能的飞机进站系统和方法
F16,CN204477148U,一种变刚度电液加载系统用橡胶-金属缓冲弹簧
B60,CN1605493A,发电电动汽车
G08,CN101030332A,模拟机场
F16,CN105378340A,旋转促动器
B60,CN203995529U,太阳伞飞车
B64,CN100478207C,空调机组
F16,CN2861011Y,飞机行李车输送带调整装置
B60,CN2512655Y,分离式多座位汽车座套
B64,CN104925260A,用于控制飞机座舱中的压力的方法和系统
B60,CN100436190C,用于汽车和飞机的自适应充气座垫和靠垫
B64,CN203093651U,飞机牵引车专用双向缓冲装置
B60,CN1247141A,装配在长途汽车或飞机靠背椅靠背部背后的折叠桌子
F16,CN101490441A,襟翼作动筒
G08,CN1266485C,飞机最近点通过时刻等的测定方法
B64,CN105346705A,翼面可变曲率的自适应机翼及其飞行器的操控方式
F16,CN203488880U,一种贯穿飞机壁板的导管连接结构
B60,CN204279163U,一种置于交通座椅靠背的双桌面折叠桌
F16,CN104696659A,一种波纹管接头
B64,CN104608932A,一种飞机发动机防护装置
F16,CN103939513A,一种基于聚酰亚胺的低速飞机新型刹车摩擦片配方
B60,CN104385953A,驾驶员防疲劳安全靠椅
G08,CN102654940B,基于无人驾驶飞机的交通信息采集系统的信息处理方法
B60,CN104234154A,一套新式便器及设计方法
G08,CN103903380A,一种用于飞机货舱特殊环境的复合火灾探测器
F16,CN204175827U,磁阻式微型离合器
B64,CN201842073U,飞机轮挡移动装置
B60,CN104760689A,用于飞机的起落架
B64,CN104670493A,一种直升飞机螺旋桨高速刹车定位装置
B60,CN201081790Y,舱内空气质量报警及处理装置
G08,CN103617750A,一种复用全向天线的混合监视防撞告警方法及其系统
F16,CN101687545A,用于飞机起落架的减震器
B64,CN204415718U,一种飞机刹车装置
B64,CN105667206A,一种便携式机轮拆装装置
B64,CN104554713A,一种可大幅度减阻的减阻外套
B60,CN1827422A,汽车驾驶员座椅的气囊底架
G08,CN103818320A,驾驶舱用智能控制系统及控制方法
B64,CN104590503B,一种用于船舶、飞机的太阳能光伏供电求救装置
B64,CN2351322Y,机场摆渡登机车
G08,CN101385059A,飞机碰撞感测和规避系统和方法
G08,CN1630873A,带有压缩特性数据存储的机场地图系统
B64,CN203300000U,用于飞机供电室的防触电报警器
F16,CN103671564A,推力磁悬浮轴承直升机悬挂系统
B64,CN1968851A,承载窗
F16,CN103982615A,一种能源驱动转换方法
F16,CN204846368U,多机型无人直升机通用主变速箱
G08,CN102754136A,烟雾报警器
G08,CN101546484A,基于SOA的航班延误波及分析与预测系统及其运作方法
F16,CN205207467U,一种蛇形弹簧联轴器
B60,CN203293951U,飞机乘客座椅后背颈椎部摆动式靠枕
B60,CN1109829A,乘客座椅
G08,CN102881187A,一种航空签派运行监控方法及其系统
G08,CN1628997A,一种安全型有轮的运输工具及其制造方法
B64,CN203126829U,一种能够改善刹车性能的电液压力伺服阀
F16,CN104500608A,一种超轻型直升飞机柔性联轴器
G08,CN202282078U,一种飞机飞行实时管控系统
B64,CN203863339U,飞机组装工装
F16,CN101384482A,用于飞机的能量吸收器
B60,CN104709463A,一种主起落架控制方法及装置
B64,CN104608935A,一种飞机航模
F16,CN102562827A,航空用涡轮/压气机高速轴承的冷却系统及方法与应用
B60,CN1668490A,用于汽车和飞机的自适应充气座垫和靠垫
F16,CN204452953U,一种飞行器起落架三叉胶粘压紧装置
B60,CN2717751Y,一种新型座垫套
B64,CN203156341U,一种飞机前起落架外筒的旋转组装装置
F16,CN101024424A,用于飞机引擎底座的具有反馈和前馈控制的主动消振和振动隔离
G08,CN102847324B,动态地控制遥控飞机的姿态以自动执行翻滚式动作的方法
B64,CN105082674A,荧光-显示器
